hazy_file,clear_file,beta,psnr,ssim
0253_0.8_0.2.jpg,0253.png,0.8,20.259289122155344,0.8924486
0253_1_0.16.jpg,0253.png,1.0,22.688171795448575,0.9149995
0255_0.85_0.08.jpg,0255.png,0.85,17.669161796126463,0.69902533
0256_0.95_0.16.jpg,0256.png,0.95,24.150776037756046,0.93623567
0258_0.8_0.2.jpg,0258.png,0.8,18.483671511735945,0.8736666
0259_0.9_0.08.jpg,0259.png,0.9,16.693642655588782,0.75111586
0260_0.9_0.2.jpg,0260.png,0.9,21.41565512644418,0.92803216
0261_0.85_0.08.jpg,0261.png,0.85,16.81923378973583,0.7666292
0262_0.95_0.12.jpg,0262.png,0.95,22.334537076551648,0.9202149
0263_0.95_0.08.jpg,0263.png,0.95,17.348301475885314,0.7609534
0264_0.95_0.2.jpg,0264.png,0.95,23.950012388415423,0.95073324
0266_0.8_0.12.jpg,0266.png,0.8,17.22471335777607,0.86475897
0267_0.9_0.16.jpg,0267.png,0.9,22.813282174787794,0.93827087
0268_0.9_0.16.jpg,0268.png,0.9,21.506314163348353,0.88745564
0269_0.95_0.2.jpg,0269.png,0.95,25.250443296921073,0.96887493
0270_0.85_0.16.jpg,0270.png,0.85,20.895541567416732,0.9050835
0271_0.85_0.12.jpg,0271.png,0.85,21.812723662326853,0.94105405
0272_0.85_0.08.jpg,0272.png,0.85,17.52594751091901,0.8772104
0273_0.85_0.2.jpg,0273.png,0.85,19.41307399936681,0.95337313
0274_0.95_0.12.jpg,0274.png,0.95,22.207853394560914,0.9602909
0275_1_0.16.jpg,0275.png,1.0,20.01006424612632,0.86801004
0276_1_0.12.jpg,0276.png,1.0,24.3323673651549,0.9387336
0277_1_0.08.jpg,0277.png,1.0,21.55321939025854,0.8550258
0279_0.8_0.12.jpg,0279.png,0.8,18.118453843431666,0.9233825
0280_0.9_0.16.jpg,0280.png,0.9,21.91183032319636,0.94776887
0281_0.9_0.12.jpg,0281.png,0.9,20.0394407090968,0.9373603
0282_0.85_0.16.jpg,0282.png,0.85,17.66948350266678,0.928958
0283_0.85_0.12.jpg,0283.png,0.85,19.85923962998972,0.9227073
0284_0.8_0.16.jpg,0284.png,0.8,20.204271393801847,0.93694854
0285_0.85_0.2.jpg,0285.png,0.85,22.19950250995805,0.92949814
0286_0.8_0.08.jpg,0286.png,0.8,15.849105795114632,0.86353254
0287_0.8_0.2.jpg,0287.png,0.8,17.93770316044913,0.8688379
0287_0.95_0.08.jpg,0287.png,0.95,19.950884632940788,0.87700576
0288_0.95_0.2.jpg,0288.png,0.95,17.954523395238876,0.84161496
0290_0.85_0.08.jpg,0290.png,0.85,18.485802939298416,0.8718114
0291_0.95_0.12.jpg,0291.png,0.95,22.34841521159052,0.94700336
0292_1_0.16.jpg,0292.png,1.0,25.261196407569088,0.9483304
0294_1_0.2.jpg,0294.png,1.0,20.440809496829555,0.89229226
0295_0.85_0.08.jpg,0295.png,0.85,18.487124011669152,0.8383899
0296_0.95_0.12.jpg,0296.png,0.95,22.830770223441927,0.93453807
0297_0.95_0.08.jpg,0297.png,0.95,20.088958402178815,0.88809395
0298_1_0.12.jpg,0298.png,1.0,23.708860990633195,0.9512076
0299_0.9_0.08.jpg,0299.png,0.9,18.351621935273883,0.85974807
0300_1_0.2.jpg,0300.png,1.0,24.205291621005372,0.95715475
0302_0.9_0.16.jpg,0302.png,0.9,21.20215053478796,0.893414
0303_0.9_0.12.jpg,0303.png,0.9,19.825629842691562,0.9323344
0304_0.9_0.08.jpg,0304.png,0.9,19.663950543945482,0.9189853
0305_0.9_0.2.jpg,0305.png,0.9,20.566358577568863,0.90140194
0306_0.8_0.16.jpg,0306.png,0.8,18.583230765307007,0.9188075
0307_0.8_0.12.jpg,0307.png,0.8,18.745179633700815,0.9162516
0308_1_0.16.jpg,0308.png,1.0,23.60464565315325,0.9468711
0309_1_0.08.jpg,0309.png,1.0,20.984125005326938,0.92968196
0311_0.8_0.16.jpg,0311.png,0.8,19.88995239741431,0.89684206
0312_0.8_0.12.jpg,0312.png,0.8,17.037633497574895,0.9036867
0313_0.8_0.2.jpg,0313.png,0.8,18.437016547251183,0.9328529
0314_0.9_0.12.jpg,0314.png,0.9,20.972083086814187,0.9164018
0315_0.85_0.16.jpg,0315.png,0.85,18.795301449146763,0.92528033
0316_0.85_0.12.jpg,0316.png,0.85,19.489894624077664,0.9345021
0317_0.85_0.08.jpg,0317.png,0.85,19.339066507090113,0.8642659
0318_0.85_0.2.jpg,0318.png,0.85,19.8162536125303,0.89335877
